Date,High
2011-09-09,267.06
2011-09-12,265.73
2011-09-13,266.67
2011-09-14,268.21
2011-09-15,272.22
2011-09-16,273.15
2011-09-19,274.68
2011-09-20,278.98
2011-09-21,277.22
2011-09-22,264.12
2011-09-23,262.95
2011-09-26,266.2
2011-09-27,273.25
2011-09-28,271.74
2011-09-29,268.38
2011-09-30,261.74
2011-10-03,255.74
2011-10-04,251.47
2011-10-05,253.65
2011-10-06,257.36
2011-10-07,259.99
2011-10-10,268.47
2011-10-11,273.13
2011-10-12,277.34
2011-10-13,279.22
2011-10-14,299.5
2011-10-17,295.62
2011-10-18,295.98
2011-10-19,295.73
2011-10-20,294.15
2011-10-21,296.08
2011-10-24,299.69
2011-10-25,297.2
2011-10-26,294.79
2011-10-27,301.05
2011-10-28,300.85
2011-10-31,299.55
2011-11-01,292.46
2011-11-02,293.69
2011-11-03,298.45
2011-11-04,299.57
2011-11-07,304.09
2011-11-08,306.88
2011-11-09,304.39
2011-11-10,302.67
2011-11-11,305.74
2011-11-14,308.73
2011-11-15,308.73
2011-11-16,308.84
2011-11-17,305.84
2011-11-18,301.95
2011-11-21,293.96
2011-11-22,292.19
2011-11-23,289.83
2011-11-25,286.85
2011-11-28,294.12
2011-11-29,294.88
2011-11-30,299.46
2011-12-01,307.69
2011-12-02,311.69
2011-12-05,315.63
2011-12-06,314.0
2011-12-07,312.52
2011-12-08,313.41
2011-12-09,314.25
2011-12-12,312.78
2011-12-13,317.96
2011-12-14,311.85
2011-12-15,311.69
2011-12-16,314.35
2011-12-19,313.94
2011-12-20,315.6
2011-12-21,315.59
2011-12-22,315.55
2011-12-23,317.02
2011-12-27,321.92
2011-12-28,322.18
2011-12-29,321.18
2011-12-30,323.06
2012-01-03,333.74
2012-01-04,334.79
2012-01-05,331.65
2012-01-06,329.67
2012-01-09,323.18
2012-01-10,316.58
2012-01-11,314.38
2012-01-12,316.13
2012-01-13,313.16
2012-01-17,315.67
2012-01-18,316.68
2012-01-19,320.17
2012-01-20,295.2
2012-01-23,294.04
2012-01-24,293.55
2012-01-25,289.07
2012-01-26,286.95
2012-01-27,289.87
2012-01-30,289.71
2012-01-31,291.71
2012-02-01,292.46
2012-02-02,292.91
2012-02-03,298.24
2012-02-06,305.11
2012-02-07,304.39
2012-02-08,305.37
2012-02-09,306.94
2012-02-10,303.76
2012-02-13,306.61
2012-02-14,305.69
2012-02-15,306.16
2012-02-16,304.1
2012-02-17,303.51
2012-02-21,308.63
2012-02-22,308.08
2012-02-23,303.67
2012-02-24,305.52
2012-02-27,305.87
2012-02-28,309.58
2012-02-29,312.49
2012-03-01,312.54
2012-03-02,311.69
2012-03-05,310.93
2012-03-06,304.1
2012-03-07,305.29
2012-03-08,305.44
2012-03-09,305.64
2012-03-12,303.2
2012-03-13,308.62
2012-03-14,311.08
2012-03-15,311.44
2012-03-16,312.64
2012-03-19,318.32
2012-03-20,317.71
2012-03-21,323.37
2012-03-22,324.08
2012-03-23,323.93
2012-03-26,324.42
2012-03-27,326.42
2012-03-28,328.96
2012-03-29,327.97
2012-03-30,326.42
2012-04-02,323.43
2012-04-03,323.65
2012-04-04,319.18
2012-04-05,317.9
2012-04-09,317.35
2012-04-10,316.93
2012-04-11,317.68
2012-04-12,326.24
2012-04-13,324.17
2012-04-16,311.59
2012-04-17,308.54
2012-04-18,306.09
2012-04-19,307.82
2012-04-20,304.12
2012-04-23,298.93
2012-04-24,303.01
2012-04-25,305.37
2012-04-26,308.69
2012-04-27,308.06
2012-04-30,307.73
2012-05-01,305.49
2012-05-02,303.75
2012-05-03,307.11
2012-05-04,303.64
2012-05-07,304.98
2012-05-08,308.14
2012-05-09,307.88
2012-05-10,307.79
2012-05-11,306.97
2012-05-14,303.95
2012-05-15,307.19
2012-05-16,314.73
2012-05-17,318.61
2012-05-18,315.89
2012-05-21,307.54
2012-05-22,306.6
2012-05-23,304.5
2012-05-24,305.65
2012-05-25,300.56
2012-05-29,299.27
2012-05-30,295.65
2012-05-31,294.7
2012-06-01,286.04
2012-06-04,289.95
2012-06-05,288.78
2012-06-06,290.69
2012-06-07,293.65
2012-06-08,290.21
2012-06-11,292.37
2012-06-12,284.86
2012-06-13,283.22
2012-06-14,282.25
2012-06-15,281.98
2012-06-18,286.82
2012-06-19,291.85
2012-06-20,289.71
2012-06-21,289.63
2012-06-22,285.45
2012-06-25,283.76
2012-06-26,283.02
2012-06-27,286.71
2012-06-28,282.83
2012-06-29,289.77
2012-07-02,291.21
2012-07-03,293.91
2012-07-05,299.73
2012-07-06,296.46
2012-07-09,294.01
2012-07-10,295.92
2012-07-11,288.64
2012-07-12,285.68
2012-07-13,289.28
2012-07-16,289.31
2012-07-17,290.04
2012-07-18,291.55
2012-07-19,298.94
2012-07-20,306.16
2012-07-23,308.87
2012-07-24,308.66
2012-07-25,306.38
2012-07-26,308.13
2012-07-27,317.18
2012-07-30,320.98
2012-07-31,317.93
2012-08-01,319.43
2012-08-02,318.7
2012-08-03,321.54
2012-08-06,324.37
2012-08-07,321.81
2012-08-08,322.61
2012-08-09,322.86
2012-08-10,320.8
2012-08-13,329.74
2012-08-14,336.09
2012-08-15,336.79
2012-08-16,336.98
2012-08-17,338.29
2012-08-20,339.1
2012-08-21,338.66
2012-08-22,339.96
2012-08-23,339.9
2012-08-24,339.88
2012-08-27,335.66
2012-08-28,338.47
2012-08-29,344.15
2012-08-30,343.35
2012-08-31,343.95
2012-09-04,342.16
2012-09-05,342.91
2012-09-06,349.6
2012-09-07,355.77
2012-09-10,356.05
2012-09-11,349.97
2012-09-12,347.11
2012-09-13,354.15
2012-09-14,356.14
2012-09-17,356.08
2012-09-18,358.97
2012-09-19,363.92
2012-09-20,365.32
2012-09-21,367.09
2012-09-24,374.64
2012-09-25,382.06
2012-09-26,380.24
2012-09-27,381.04
2012-09-28,379.27
2012-10-01,382.12
2012-10-02,382.61
2012-10-03,381.58
2012-10-04,384.56
2012-10-05,386.8
2012-10-08,381.41
2012-10-09,380.28
2012-10-10,373.39
2012-10-11,378.87
2012-10-12,377.06
2012-10-15,371.54
2012-10-16,373.12
2012-10-17,377.79
2012-10-18,379.33
2012-10-19,353.0
2012-10-22,341.97
2012-10-23,343.32
2012-10-24,343.16
2012-10-25,340.66
2012-10-26,341.17
2012-10-31,340.16
2012-11-01,345.1
2012-11-02,347.43
2012-11-05,343.09
2012-11-06,342.91
2012-11-07,338.78
2012-11-08,335.41
2012-11-09,333.84
2012-11-12,334.57
2012-11-13,333.47
2012-11-14,330.76
2012-11-15,329.67
2012-11-16,326.18
2012-11-19,334.13
2012-11-20,338.66
2012-11-21,334.57
2012-11-23,334.66
2012-11-26,333.17
2012-11-27,337.16
2012-11-28,342.11
2012-11-29,346.6
2012-11-30,349.26
2012-12-03,352.59
2012-12-04,347.41
2012-12-05,346.9
2012-12-06,347.46
2012-12-07,348.09
2012-12-10,345.48
2012-12-11,350.61
2012-12-12,351.4
2012-12-13,357.88
2012-12-14,353.56
2012-12-17,368.77
2012-12-18,364.19
2012-12-19,361.14
2012-12-20,361.96
2012-12-21,359.05
2012-12-24,357.23
2012-12-26,356.08
2012-12-27,354.07
2012-12-28,353.1
2012-12-31,354.93
2013-01-02,363.14
2013-01-03,365.6
2013-01-04,370.36
2013-01-07,369.32
2013-01-08,367.78
2013-01-09,368.81
2013-01-10,372.13
2013-01-11,370.84
2013-01-14,370.73
2013-01-15,367.13
2013-01-16,361.81
2013-01-17,359.46
2013-01-18,356.03
2013-01-22,352.32
2013-01-23,374.13
2013-01-24,378.04
2013-01-25,378.86
2013-01-28,377.42
2013-01-29,378.1
2013-01-30,380.09
2013-01-31,378.43
2013-02-01,387.9
2013-02-04,384.85
2013-02-05,385.17
2013-02-06,386.09
2013-02-07,389.02
2013-02-08,392.94
2013-02-11,391.11
2013-02-12,393.56
2013-02-13,392.28
2013-02-14,393.98
2013-02-15,396.23
2013-02-19,403.1
2013-02-20,404.08
2013-02-21,402.32
2013-02-22,400.22
2013-02-25,403.8
2013-02-26,397.58
2013-02-27,401.97
2013-02-28,403.09
2013-03-01,403.17
2013-03-04,411.01
2013-03-05,419.65
2013-03-06,421.58
2013-03-07,417.89
2013-03-08,417.04
2013-03-11,419.43
2013-03-12,415.53
2013-03-13,414.93
2013-03-14,413.08
2013-03-15,409.74
2013-03-18,405.97
2013-03-19,409.22
2013-03-20,408.35
2013-03-21,408.05
2013-03-22,407.21
2013-03-25,409.21
2013-03-26,406.59
2013-03-27,403.1
2013-03-28,402.28
2013-04-01,400.72
2013-04-02,407.01
2013-04-03,406.69
2013-04-04,402.47
2013-04-05,393.1
2013-04-08,389.39
2013-04-09,391.48
2013-04-10,395.78
2013-04-11,396.15
2013-04-12,395.66
2013-04-15,398.1
2013-04-16,397.6
2013-04-17,395.03
2013-04-18,392.51
2013-04-19,401.32
2013-04-22,401.58
2013-04-23,407.34
2013-04-24,408.59
2013-04-25,407.83
2013-04-26,403.47
2013-04-29,410.94
2013-04-30,413.41
2013-05-01,411.95
2013-05-02,416.86
2013-05-03,422.98
2013-05-06,430.49
2013-05-07,431.5
2013-05-08,436.5
2013-05-09,439.39
2013-05-10,439.83
2013-05-13,440.79
2013-05-14,443.9
2013-05-15,457.73
2013-05-16,459.53
2013-05-17,456.29
2013-05-20,459.84
2013-05-21,455.37
2013-05-22,454.2
2013-05-23,444.54
2013-05-24,438.97
2013-05-28,445.62
2013-05-29,438.56
2013-05-30,439.01
2013-05-31,438.06
2013-06-03,436.55
2013-06-04,434.86
2013-06-05,434.29
2013-06-06,432.73
2013-06-07,439.56
2013-06-10,445.05
2013-06-11,443.06
2013-06-12,442.56
2013-06-13,439.39
2013-06-14,441.91
2013-06-17,444.27
2013-06-18,450.05
2013-06-19,454.96
2013-06-20,450.05
2013-06-21,444.5
2013-06-24,437.72
2013-06-25,439.4
2013-06-26,438.56
2013-06-27,441.9
2013-06-28,440.48
2013-07-01,445.59
2013-07-02,445.05
2013-07-03,444.14
2013-07-05,447.26
2013-07-08,452.68
2013-07-09,456.02
2013-07-10,455.11
2013-07-11,459.94
2013-07-12,461.04
2013-07-15,463.54
2013-07-16,463.52
2013-07-17,462.97
2013-07-18,459.54
2013-07-19,451.02
2013-07-22,455.88
2013-07-23,456.04
2013-07-24,454.69
2013-07-25,447.98
2013-07-26,444.55
2013-07-29,446.96
2013-07-30,447.36
2013-07-31,447.81
2013-08-01,451.82
2013-08-02,453.05
2013-08-05,452.31
2013-08-06,454.4
2013-08-07,448.78
2013-08-08,447.47
2013-08-09,447.31
2013-08-12,443.06
2013-08-13,443.81
2013-08-14,439.67
2013-08-15,432.03
2013-08-16,430.79
2013-08-19,435.56
2013-08-20,435.62
2013-08-21,438.02
2013-08-22,436.94
2013-08-23,438.56
2013-08-26,437.01
2013-08-27,431.43
2013-08-28,427.28
2013-08-29,429.76
2013-08-30,428.59
2013-09-03,432.66
2013-09-04,436.31
2013-09-05,439.5
2013-09-06,441.45
2013-09-09,444.43
2013-09-10,445.55
2013-09-11,448.04
2013-09-12,448.5
2013-09-13,447.39
2013-09-16,448.05
2013-09-17,443.75
2013-09-18,451.53
2013-09-19,452.54
2013-09-20,451.61
2013-09-23,450.34
2013-09-24,444.6
2013-09-25,442.83
2013-09-26,440.93
2013-09-27,438.32
2013-09-30,439.98
2013-10-01,443.39
2013-10-02,444.23
2013-10-03,446.6
2013-10-04,438.32
2013-10-07,436.56
2013-10-08,432.56
2013-10-09,430.89
2013-10-10,433.98
2013-10-11,436.3
2013-10-14,437.69
2013-10-15,442.37
2013-10-16,448.72
2013-10-17,448.0
2013-10-18,507.22
2013-10-21,508.99
2013-10-22,505.99
2013-10-23,516.86
2013-10-24,519.76
2013-10-25,513.9
2013-10-28,511.2
2013-10-29,517.95
2013-10-30,518.24
2013-10-31,520.24
2013-11-01,517.48
2013-11-04,515.67
2013-11-05,515.31
2013-11-06,512.99
2013-11-07,511.45
2013-11-08,508.74
2013-11-11,507.46
2013-11-12,508.27
2013-11-13,515.91
2013-11-14,519.36
2013-11-15,518.48
2013-11-18,523.85
2013-11-19,516.86
2013-11-20,516.16
2013-11-21,518.64
2013-11-22,517.57
2013-11-25,526.07
2013-11-26,530.22
2013-11-27,533.47
2013-11-29,532.78
2013-12-02,532.64
2013-12-03,531.19
2013-12-04,531.46
2013-12-05,529.3
2013-12-06,534.46
2013-12-09,540.61
2013-12-10,545.61
2013-12-11,545.11
2013-12-12,540.93
2013-12-13,537.61
2013-12-16,536.81
2013-12-17,539.84
2013-12-18,541.93
2013-12-19,545.45
2013-12-20,550.03
2013-12-23,557.34
2013-12-24,557.06
2013-12-26,558.94
2013-12-27,559.58
2013-12-30,559.69
2013-12-31,559.94
2014-01-02,558.32
2014-01-03,557.91
2014-01-06,558.87
2014-01-07,569.28
2014-01-08,573.09
2014-01-09,571.54
2014-01-10,568.97
2014-01-13,572.88
2014-01-14,574.92
2014-01-15,576.92
2014-01-16,578.39
2014-01-17,579.73
2014-01-21,581.42
2014-01-22,583.36
2014-01-23,580.66
2014-01-24,576.2
2014-01-27,562.69
2014-01-28,562.31
2014-01-29,560.31
2014-01-30,575.67
2014-01-31,592.68
2014-02-03,590.27
2014-02-04,576.92
2014-02-05,574.81
2014-02-06,579.5
2014-02-07,588.36
2014-02-10,590.61
2014-02-11,595.34
2014-02-12,594.4
2014-02-13,599.35
2014-02-14,601.59
2014-02-18,605.83
2014-02-19,604.0
2014-02-20,602.84
2014-02-21,604.33
2014-02-24,609.47
2014-02-25,611.64
2014-02-26,613.83
2014-02-27,611.5
2014-02-28,611.48
2014-03-03,603.32
2014-03-04,607.39
2014-03-05,610.93
2014-03-06,612.46
2014-03-07,612.88
2014-03-10,608.21
2014-03-11,606.55
2014-03-12,603.32
2014-03-13,604.64
2014-03-14,594.84
2014-03-17,597.94
2014-03-18,605.16
2014-03-19,605.39
2014-03-20,604.2
2014-03-21,604.21
2014-03-24,591.86
2014-03-25,584.34
2014-03-26,585.2
2014-03-27,565.4
2014-03-28,566.03
2014-03-31,566.93
2014-04-01,568.18
2014-04-02,571.83
2014-04-03,587.28
2014-04-04,577.77
2014-04-07,548.48
2014-04-08,555.0
2014-04-09,565.37
2014-04-10,565.0
2014-04-11,540.0
2014-04-14,544.1
2014-04-15,538.45
2014-04-16,557.0
2014-04-17,549.5
2014-04-21,536.7
2014-04-22,537.23
2014-04-23,533.87
2014-04-24,531.65
2014-04-25,524.7
2014-04-28,518.6
2014-04-29,529.46
2014-04-30,528.0
2014-05-01,532.93
2014-05-02,534.0
2014-05-05,528.9
2014-05-06,526.81
2014-05-07,516.68
2014-05-08,517.23
2014-05-09,519.9
2014-05-12,530.19
2014-05-13,536.07
2014-05-14,533.0
2014-05-15,525.87
2014-05-16,521.8
2014-05-19,529.78
2014-05-20,536.23
2014-05-21,539.18
2014-05-22,547.6
2014-05-23,553.64
2014-05-27,566.0
2014-05-28,567.84
2014-05-29,564.0
2014-05-30,561.35
2014-06-02,560.9
2014-06-03,552.34
2014-06-04,548.61
2014-06-05,554.95
2014-06-06,558.06
2014-06-09,562.9
2014-06-10,563.6
2014-06-11,559.88
2014-06-12,557.99
2014-06-13,552.3
2014-06-16,549.62
2014-06-17,545.32
2014-06-18,553.56
2014-06-19,555.0
2014-06-20,557.58
2014-06-23,565.0
2014-06-24,572.65
2014-06-25,579.96
2014-06-26,582.45
2014-06-27,579.87
2014-06-30,579.57
2014-07-01,584.4
2014-07-02,585.44
2014-07-03,585.01
2014-07-07,586.43
2014-07-08,579.53
2014-07-09,576.72
2014-07-10,576.59
2014-07-11,580.85
2014-07-14,585.21
2014-07-15,585.8
2014-07-16,588.4
2014-07-17,580.99
2014-07-18,596.8
2014-07-21,594.4
2014-07-22,599.65
2014-07-23,597.85
2014-07-24,599.5
2014-07-25,591.86
2014-07-28,592.5
2014-07-29,589.7
2014-07-30,589.5
2014-07-31,583.65
2014-08-01,575.96
2014-08-04,575.35
2014-08-05,571.98
2014-08-06,570.7
2014-08-07,569.89
2014-08-08,570.25
2014-08-11,570.49
2014-08-12,565.9
2014-08-13,575.0
2014-08-14,577.9
2014-08-15,579.38
2014-08-18,584.51
2014-08-19,587.34
2014-08-20,586.7
2014-08-21,584.5
2014-08-22,585.24
2014-08-25,585.0
2014-08-26,581.8
2014-08-27,578.49
2014-08-28,573.25
2014-08-29,572.04
2014-09-02,577.83
2014-09-03,582.99
2014-09-04,586.0
2014-09-05,586.55
2014-09-08,591.77
2014-09-09,589.0
2014-09-10,583.5
2014-09-11,581.81
2014-09-12,581.64
2014-09-15,574.95
2014-09-16,581.5
2014-09-17,587.52
2014-09-18,589.54
2014-09-19,596.48
2014-09-22,593.95
2014-09-23,586.85
2014-09-24,589.63
2014-09-25,587.98
2014-09-26,579.25
2014-09-29,578.19
2014-09-30,579.85
2014-10-01,577.58
2014-10-02,571.91
2014-10-03,577.22
2014-10-06,581.0
2014-10-07,575.27
2014-10-08,573.88
2014-10-09,571.49
2014-10-10,565.13
2014-10-13,549.5
2014-10-14,547.19
2014-10-15,532.8
2014-10-16,529.43
2014-10-17,530.98
2014-10-20,521.76
2014-10-21,526.79
2014-10-22,539.8
2014-10-23,547.22
2014-10-24,544.88
2014-10-27,544.41
2014-10-28,548.98
2014-10-29,554.19
2014-10-30,552.8
2014-10-31,559.57
2014-11-03,557.9
2014-11-04,555.5
2014-11-05,556.8
2014-11-06,546.88
2014-11-07,546.21
2014-11-10,549.59
2014-11-11,551.94
2014-11-12,550.46
2014-11-13,549.8
2014-11-14,546.68
2014-11-17,543.79
2014-11-18,541.94
2014-11-19,538.24
2014-11-20,535.11
2014-11-21,542.14
2014-11-24,542.7
2014-11-25,543.98
2014-11-26,541.55
2014-11-28,542.0
2014-12-01,541.41
2014-12-02,535.5
2014-12-03,536.0
2014-12-04,537.34
2014-12-05,532.89
2014-12-08,531.0
2014-12-09,534.19
2014-12-10,536.33
2014-12-11,533.92
2014-12-12,528.5
2014-12-15,523.1
2014-12-16,513.05
2014-12-17,507.0
2014-12-18,513.87
2014-12-19,517.72
2014-12-22,526.46
2014-12-23,534.56
2014-12-24,531.76
2014-12-26,534.25
2014-12-29,535.48
2014-12-30,531.15
2014-12-31,532.6
